week_start,n_comments,mean_compound,median_compound,mean_pos,mean_neg,aspect
2024-02-26,19,-0.040888144608100106,0.0315154790878295,0.15129309140014013,0.19218123295358147,Norris
2024-03-04,30,-0.3232249427087504,-0.419540885,0.13097166469297802,0.4541966094279542,Norris
2024-03-11,9,-0.15185940265655512,-0.1723849773406982,0.14471509090314305,0.29657449531886315,Norris
2024-03-18,11,-0.06814733215353706,0.0286360457539558,0.2795851761475205,0.3477325157516382,Norris
2024-04-15,43,-0.09765848452093023,-0.22117707,0.22011816524418604,0.3177766503023256,Norris
2024-04-29,392,0.08193370641888265,0.0437644775613546,0.33206893986320296,0.250135233564838,Norris
2024-05-06,78,-0.01919978242781968,-0.090931765,0.23463111752485047,0.2538308966183046,Norris
2024-05-13,119,0.31824358105033385,0.3501543402671814,0.48036144977482426,0.16211786962646454,Norris
2024-05-20,32,-0.005898119831302112,-0.0566749719453239,0.24851678384270415,0.2544149055986872,Norris
2024-05-27,26,-0.19154806226923077,-0.14377664,0.11555448524999999,0.30710254923076924,Norris
2024-06-03,91,0.10365347921862783,0.044628374,0.33747174211735714,0.23381826340643058,Norris
2024-06-10,18,0.21420119208562383,0.194597335,0.3784230599447047,0.1642218703158479,Norris
2024-06-17,208,-0.1449533043362189,-0.19886287526754376,0.2132090675987202,0.35816236956344494,Norris
2024-06-24,390,-0.22401811403848973,-0.2497425100866699,0.12686959347662372,0.350887706570789,Norris
2024-07-01,238,-0.1974848547623052,-0.21613989,0.14642443357609966,0.3439092893214817,Norris
2024-07-08,1,0.8603847622871399,0.8603847622871399,0.8740087151527405,0.0136239547282457,Norris
2024-07-15,651,-0.36887867004894703,-0.4933403134346008,0.12711657327364778,0.4959952439675409,Norris
2024-07-22,168,-0.16396270127882973,-0.19588250982341765,0.22272598233291774,0.3866886832650915,Norris
2024-07-29,54,-0.03170329829057058,-0.0558038800954818,0.29915353428158487,0.3308568316149629,Norris
2024-08-19,182,-0.04897051096420992,-0.11401505753716655,0.27575678912761376,0.32472729946579987,Norris
2024-08-26,560,-0.20794853422387877,-0.3035088777542114,0.17766100636956914,0.3856095409032831,Norris
2024-09-02,463,-0.2045559017756381,-0.2365697771310806,0.142830893682342,0.34738679622808977,Norris
2024-09-09,194,-0.02124064404833937,-0.02438965438644025,0.24400409595255365,0.2652447398600985,Norris
2024-09-16,103,-0.06304402242609117,-0.067803934,0.1906599133527547,0.2537039368815828,Norris
2024-09-23,150,-0.40249095986399996,-0.562277425,0.12411845379866666,0.526609412916,Norris
2024-10-14,499,-0.29434264814992195,-0.30604136,0.0950413751500937,0.3893840236940692,Norris
2024-10-21,532,-0.20157892859386947,-0.2166816145181656,0.12769206283152348,0.32927099089084555,Norris
2024-10-28,1214,-0.19774906092181882,-0.2579178512096405,0.1936590768316305,0.3914081374871036,Norris
2024-11-04,394,-0.20952016848150093,-0.2591203053653717,0.17325730129831377,0.38277747016000485,Norris
2024-11-18,16,0.1861035148613155,0.10778634250164025,0.38848603484802874,0.202382520372339,Norris
2024-11-25,133,-0.3959402635977089,-0.494613379240036,0.090930970051342,0.4868712324476152,Norris
2024-12-02,118,0.055293617753530776,0.0245219394564628,0.31778265298533226,0.26248903411251345,Norris
2024-12-09,1,-0.2648626863956451,-0.2648626863956451,0.036662071943283,0.3015247583389282,Norris
2024-12-30,42,0.19477130313004767,0.05942838639020915,0.3319585937563152,0.13718729082029307,Norris
2025-01-06,18,0.20456795311636394,0.08058721944689745,0.3998367620839013,0.19526881181324518,Norris
2025-02-24,13,-0.15183441646153845,-0.20099351,0.1648717873846154,0.31670620619230766,Norris
2025-03-10,197,0.153597881263357,0.1307902634143829,0.37533566245172784,0.2217377818013621,Norris
2025-03-17,90,-0.05221212622404815,-0.1117123303663635,0.2629359435616229,0.3151480694171123,Norris
2025-03-24,5,-0.03909571468830108,0.0073230788111686,0.08197962641716,0.12107533961534497,Norris
2025-03-31,249,-0.18780740862299528,-0.1988169699907302,0.14022749804078366,0.3280349054473662,Norris
2025-04-07,251,-0.14656364887062712,-0.2302552759647369,0.21092008587521074,0.35748373293680574,Norris
2025-04-14,76,0.016880390046975547,-0.0086688698,0.2814599760492176,0.26457958962887235,Norris
2025-04-21,6,-0.06584610704335529,-0.39152012999999997,0.3358318295266646,0.4016779285386973,Norris
2025-04-28,214,-0.017418240347988296,-0.0268555916845798,0.2531910330221582,0.2706092712919843,Norris
2025-05-05,329,-0.2651637889187879,-0.33022356,0.15201623061689445,0.4171800199257669,Norris
2025-05-12,38,-0.15124604002631578,-0.21386339999999998,0.1561889740263158,0.3074350107631579,Norris
2025-05-19,139,0.3506749740094383,0.5349451899528503,0.539617196472608,0.18894222302028296,Norris
2025-05-26,79,0.04664344401082098,-0.07962531,0.3069380989719238,0.260294654630447,Norris
2025-06-09,247,-0.22233832544398885,-0.31407028,0.2015987009007064,0.423937026266737,Norris
2025-06-16,42,-0.0892542197315436,-0.1119444615429306,0.24545171520233713,0.3347059352810136,Norris
2025-06-23,104,0.1299432060959423,0.027964990500000002,0.3770911680048077,0.24714795902307693,Norris
2025-06-30,223,-0.36453435076127616,-0.5332549214363098,0.1416771055199205,0.5062114538269604,Norris
2025-07-07,14,-0.15658640329326903,-0.134259782731533,0.20031361095607275,0.35690001152189715,Norris
2025-07-21,87,-0.20743698532528737,-0.26862675,0.18016482389885058,0.38760180620689655,Norris
2025-07-28,172,-0.059799497162853,-0.14284826070070267,0.2789406477098254,0.33874014410227626,Norris
2025-08-25,336,-0.1133288395710028,-0.12647758490463257,0.2282909255342728,0.34161976465715804,Norris
2025-09-01,711,-0.30723761812580036,-0.3397519588470459,0.10351865263418872,0.41075627109747026,Norris
2025-09-08,352,-0.33522628048203207,-0.3566649000291824,0.07291940509673786,0.4081456859051254,Norris
2025-09-15,221,-0.12671516029400368,-0.1532517671585083,0.21619503572541565,0.3429101975143076,Norris
2025-09-22,10,0.08839929184118654,-0.02113595499999999,0.3198774851819397,0.23147819561328223,Norris
2025-09-29,451,-0.2771560676869085,-0.3216527700424194,0.11059803308449194,0.3877541000808216,Norris
2025-10-06,276,-0.2631084601516309,-0.2870108187198639,0.11541088168556542,0.37851933996948967,Norris
2025-10-13,616,-0.08339278834502112,-0.07870020344853396,0.22045971642375092,0.3038525053815623,Norris
2025-10-20,313,0.014595110995473465,-0.0258869342505931,0.3127131267405035,0.2981180151129506,Norris
2025-10-27,8,-0.10061344513032913,-0.15644987,0.20344202811122478,0.3040554731522555,Norris
2025-11-03,227,-0.04871083602605977,-0.0635282769799232,0.25424953246188836,0.3029603693275987,Norris
2025-11-10,5,-0.127179354429245,-0.1896942257881164,0.23192466162145134,0.35910401772707695,Norris
2025-11-17,553,0.13324676779469583,0.1138969361782074,0.3665654160788994,0.2333186489674634,Norris
2025-11-24,1182,-0.172115808590347,-0.15328982472419733,0.166953923593444,0.33906973229321324,Norris
2025-12-01,1202,-0.013013851765130563,-0.0543616972592697,0.27497668692430005,0.2879905386548886,Norris
2025-12-08,200,-0.13781233524903652,-0.14107761532068253,0.15843601254513484,0.2962483480083756,Norris
2025-12-15,87,-0.13240547011467232,-0.1460826843976974,0.1831733042524121,0.31557877499331854,Norris
2025-12-29,53,0.18541132307277536,0.1188764870166778,0.36666777453227145,0.18125645336607152,Norris
2024-02-26,9,0.08696116290505726,0.0529813468456268,0.3756605192585606,0.2886993530531162,Piastri
2024-03-04,12,0.025770625626935304,-0.039197944,0.3117705087557767,0.2859998893788414,Piastri
2024-03-11,2,0.8294892907142639,0.8294892907142639,0.8514499366283417,0.02196062216535205,Piastri
2024-03-18,24,0.015119250863790512,0.058348536491394,0.3375203985488042,0.3224011492760231,Piastri
2024-04-15,1,-0.43491283,-0.43491283,0.06926688,0.5041797,Piastri
2024-04-29,58,-0.17038880055793762,-0.1604116410017013,0.23779572282351408,0.4081845238256113,Piastri
2024-05-06,79,-0.3972995543951087,-0.4900778532028198,0.08566385882323398,0.48296341395684317,Piastri
2024-05-13,24,-0.09957849249864618,-0.14193604141473765,0.22027755478241787,0.31985604900789133,Piastri
2024-05-20,20,0.24570453558129834,0.16975826591345786,0.4149203236682403,0.1692157901844883,Piastri
2024-05-27,26,-0.2220622758076923,-0.24017076,0.12656472473076924,0.34862700630769233,Piastri
2024-06-03,38,-0.06922972982206184,-0.1227151736023426,0.267914306106249,0.3371440320370969,Piastri
2024-06-10,7,0.33222999503156386,0.45933786,0.5510746514762906,0.21884466801804464,Piastri
2024-06-17,20,-0.25036461674270055,-0.3277147,0.1442232872167931,0.39458790190292753,Piastri
2024-06-24,19,-0.17332181949845485,-0.49388584,0.223756297323101,0.39707810979321284,Piastri
2024-07-01,49,-0.18668978904722253,-0.2731316,0.20131699014925686,0.3880067807738553,Piastri
2024-07-15,469,-0.33507341054341055,-0.50392354,0.16201034648894463,0.4970837570157268,Piastri
2024-07-22,169,0.0004555179288433823,-0.055810946971178,0.2642671453761123,0.2638116275192084,Piastri
2024-07-29,112,0.2601806605567357,0.2714617252349853,0.44441552644795074,0.18423486373129497,Piastri
2024-08-19,64,0.08533296509414107,0.0397607237100601,0.36453327788088147,0.27920031397142525,Piastri
2024-08-26,456,-0.13479113813786156,-0.22063634544610974,0.21920976109782478,0.35400089938903156,Piastri
2024-09-02,424,-0.1735808449257202,-0.1879108781081581,0.15168716169791,0.32526800646001475,Piastri
2024-09-09,228,0.07631932486191888,-0.008470591157674751,0.32202882638768937,0.24570950067768568,Piastri
2024-09-16,32,-0.12029816514388311,-0.12330691499999999,0.21939785875366363,0.33969602644126046,Piastri
2024-09-23,21,-0.017780892476190472,-0.066027924,0.32320147452380954,0.3409823674285714,Piastri
2024-10-14,43,-0.2162662932009677,-0.2879685461521148,0.12622494442604923,0.3424912399604708,Piastri
2024-10-21,120,-0.03565422631037399,0.01143803074955935,0.25195378382867256,0.28760801322262175,Piastri
2024-10-28,311,-0.12521992920333866,-0.1834326982498169,0.2293038106845179,0.3545237393954803,Piastri
2024-11-04,127,-0.10355404819800217,-0.1628239750862121,0.20676821544465782,0.31032226092829485,Piastri
2024-11-18,3,0.07286052902539569,-0.1497493684291839,0.32201786277194816,0.24915733064214385,Piastri
2024-11-25,19,-0.10215282531302201,0.0537217035889625,0.18585318515994648,0.2880060144599634,Piastri
2024-12-02,131,0.04517989841875797,0.013544083,0.31408286108539507,0.2689029607523847,Piastri
2024-12-09,5,-0.041577953845262486,-0.246479257941246,0.23219959214329716,0.2737775411456823,Piastri
2024-12-30,4,-0.14587401039898398,-0.0219557248055935,0.06781359296292062,0.21368760149925944,Piastri
2025-01-06,2,0.615545853972435,0.615545853972435,0.6693970859050751,0.053851214470341746,Piastri
2025-02-24,4,-0.327051435,-0.34391489,0.0629145715,0.3899660075,Piastri
2025-03-10,174,0.051864816210379874,0.03602337468458365,0.35843191110112665,0.30656709636527013,Piastri
2025-03-17,132,0.32206854365064813,0.371611025,0.4846882751386367,0.1626197344939104,Piastri
2025-03-24,3,-0.05208861579497657,0.0073230788111686,0.0821825371434291,0.1342711548010508,Piastri
2025-03-31,200,-0.16628547668795565,-0.1927490234375,0.15084036058095657,0.3171258370934941,Piastri
2025-04-07,184,0.02216021272665704,-0.08403859404424666,0.3087421688320918,0.2865819518718034,Piastri
2025-04-14,95,0.1844868900997431,0.23512709,0.3965785984794223,0.21209171105490937,Piastri
2025-04-21,8,0.13302655346748354,0.164524105,0.4112151363949984,0.278188571529023,Piastri
2025-04-28,190,0.09516203777984689,0.048669524490833255,0.330651725457265,0.23548968595078137,Piastri
2025-05-05,220,-0.04286946530859303,-0.10578868542158125,0.2405331774449831,0.28340264254011693,Piastri
2025-05-12,63,-0.10922902146031746,-0.25345534,0.21426143749206347,0.323490457315873,Piastri
2025-05-19,23,0.10069097683865674,-0.0360896214842796,0.37561745378326905,0.2749264789191207,Piastri
2025-05-26,84,0.19667695983611191,0.128294525,0.42112165341925883,0.22444469143195644,Piastri
2025-06-09,147,-0.06609275274515218,-0.162106,0.26624685861853375,0.3323396111414367,Piastri
2025-06-16,31,0.0496698643170972,0.07737375,0.28454650175164403,0.23487663906926745,Piastri
2025-06-23,102,-0.05006145189901961,-0.0807312025,0.26369150468137253,0.31375295703235295,Piastri
2025-06-30,291,-0.3716800725086809,-0.51272523,0.12679593680007828,0.4984760095323434,Piastri
2025-07-07,18,-0.22754491741458574,-0.2242084816098213,0.1327243289496335,0.3602692417593466,Piastri
2025-07-21,118,0.004993704161016948,-0.041005192,0.3087897017474576,0.3037959962025424,Piastri
2025-07-28,148,-0.21339566674406263,-0.2973972111940384,0.17699886107698892,0.3903945265650536,Piastri
2025-08-25,327,-0.1056424095752357,-0.13611327,0.2256066601235717,0.3312490682655603,Piastri
2025-09-01,652,-0.29671256295127874,-0.3314173647518158,0.11698067168966876,0.41369323477799846,Piastri
2025-09-08,330,-0.32627759785230803,-0.34027542,0.07601926671286119,0.4022968646559555,Piastri
2025-09-15,153,-0.08080822018853147,-0.11309132,0.23619023495439725,0.31699845648162284,Piastri
2025-09-22,9,0.1528747188888889,0.13043886,0.3673881337777778,0.21451341166666668,Piastri
2025-09-29,422,-0.29847150419494134,-0.35874292254447937,0.11378115644436233,0.41225266046475423,Piastri
2025-10-06,287,-0.2705240009112433,-0.2897252738475799,0.11189957573127243,0.3824235764770194,Piastri
2025-10-13,804,-0.2201042825796677,-0.25800648936691284,0.17104997057099183,0.39115425324048364,Piastri
2025-10-20,247,-0.17594513225563074,-0.26060185,0.2035869066347283,0.3795320379048325,Piastri
2025-10-27,3,-0.05531593211812336,-0.10198033,0.3078717770819684,0.36318770625090363,Piastri
2025-11-03,255,-0.25421595246893225,-0.3150194585323334,0.1561849297775397,0.4104008813679532,Piastri
2025-11-10,1,0.0651131570339202,0.0651131570339202,0.1758473664522171,0.1107342094182968,Piastri
2025-11-17,344,-0.10586448133443359,-0.126375562,0.23325163465870566,0.33911611688027027,Piastri
2025-11-24,996,-0.10627552840507491,-0.12018719309130665,0.2328296975609857,0.33910522548479805,Piastri
2025-12-01,605,-0.022121069190613726,-0.021210521,0.23311741868443256,0.25523848809033267,Piastri
2025-12-08,117,-0.1860228781707776,-0.1440596580505371,0.10178263035690423,0.2878055089714531,Piastri
2025-12-15,80,-0.09463246637023985,-0.07468374818563456,0.200056256679818,0.2946887219557538,Piastri
2025-12-29,48,0.134793845936656,0.22483735531568524,0.3402622425055597,0.20546839648159218,Piastri
2024-02-26,10,-0.006076386084636698,-0.009506918489933,0.21944365500147675,0.22552004157857305,McLaren
2024-03-04,21,-0.34003827764287675,-0.3564558,0.1298900363561153,0.46992831829423015,McLaren
2024-03-11,12,-0.11702808924019337,-0.12776409648358816,0.16298035524475074,0.2800084389746189,McLaren
2024-03-18,3,0.13605513672033948,-0.003422662615776,0.2788865038504203,0.1428313745806614,McLaren
2024-03-25,2,0.6593633145093918,0.6593633145093918,0.6757963001728058,0.0164329789113253,McLaren
2024-04-15,21,0.13224893476190477,0.17575768,0.28457918076190475,0.15233024804761905,McLaren
2024-04-22,1,-0.112125784,-0.112125784,0.07221855,0.18434434,McLaren
2024-04-29,77,0.1313053119891518,0.061423246,0.36572983527630726,0.23442452124766563,McLaren
2024-05-06,7,-0.1812202947431292,-0.1855899393558502,0.1515763020564093,0.33279659467080114,McLaren
2024-05-13,59,0.2537569041221829,0.2908935844898224,0.4338069136522837,0.18005000994446038,McLaren
2024-05-20,60,0.002000867232266081,0.014280367642640998,0.23440000221185117,0.23239913500208698,McLaren
2024-06-03,39,0.07086914245377428,0.0470971539616584,0.33841854413044165,0.2675494069413411,McLaren
2024-06-10,10,0.32180874920544433,0.3158049208110809,0.45760881737162473,0.13580006560474173,McLaren
2024-06-17,70,-0.09184501338610519,-0.089314847,0.2502023103979436,0.34204732180677,McLaren
2024-06-24,20,-0.06260557363069916,-0.144246995,0.2100137698077882,0.27261934075716476,McLaren
2024-07-01,62,-0.15467811237984172,-0.12588122130626675,0.23375796883603886,0.38843608278347297,McLaren
2024-07-15,382,-0.46944991427921695,-0.692889455,0.1120137261259184,0.5814636414907038,McLaren
2024-07-22,94,-0.06471336079089839,-0.07150133,0.23149307588022788,0.29620643573549965,McLaren
2024-07-29,23,0.27035193663576373,0.44998699426651,0.46438475941186363,0.19403282449702203,McLaren
2024-08-05,4,-0.04993384145200254,-0.013318922370672247,0.15065998211503026,0.20059381611645216,McLaren
2024-08-19,91,-0.04268043098882295,-0.0773846134543418,0.28005854565261584,0.32273897651291067,McLaren
2024-08-26,410,-0.10903538697980347,-0.12104021757841105,0.22660612477987463,0.33564151260775393,McLaren
2024-09-02,239,-0.19900224113417683,-0.2356305420398712,0.1405392838726392,0.33954152573123964,McLaren
2024-09-09,89,0.04196080127231238,-0.006498426,0.2914312403078689,0.2494704394436589,McLaren
2024-09-16,80,-0.22673000109024363,-0.32022111736812586,0.1448541576973552,0.3715841573233412,McLaren
2024-09-23,13,-0.21403958250769228,-0.41400024,0.18884093515384615,0.4028805112307692,McLaren
2024-10-14,68,-0.3581664801923474,-0.4219377927509689,0.10263754142013815,0.46080402271882526,McLaren
2024-10-21,116,-0.2622746245473375,-0.3995763512974167,0.1426669053967232,0.4049415294061357,McLaren
2024-10-28,333,-0.24002801278155403,-0.35659122,0.18409653153133357,0.4241245428840305,McLaren
